Project,Era,SampleYear,Region,RegionAbbr,AR_Complex,AR_Complex_abbr,Site,SiteType,SampleDate,DiveReplicate,DepthZone,Transect,BenthicReefSpecies,SpeciesGroupF,Abundance,area.m2,Temperature_c,Latitude_d,Longitude_d,SurveyDepth_m
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 7A,Module,2021-01-15,1,ARM,PVR 7A 15-Jan-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,12,33.72034,-118.34245,17.28
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 7A,Module,2021-01-15,2,ARM,PVR 7A 15-Jan-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,12,33.72034,-118.34245,17.28
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 7B,Module,2021-01-15,1,ARM,PVR 7B 15-Jan-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,13,33.7201,-118.34242,18.96666666666667
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 7B,Module,2021-01-15,2,ARM,PVR 7B 15-Jan-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,13,33.7201,-118.34242,18.96666666666667
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 7C,Module,2021-01-15,1,ARM,PVR 7C 15-Jan-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,13,33.71967,-118.3424,20.522222222222226
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 7C,Module,2021-01-15,2,ARM,PVR 7C 15-Jan-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,13,33.71967,-118.3424,20.522222222222226
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 8A,Module,2021-02-19,1,ARM,PVR 8A 19-Feb-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,13,33.7193011,-118.340093,16.67
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 8A,Module,2021-02-19,2,ARM,PVR 8A 19-Feb-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,1,60,13,33.7193011,-118.340093,16.67
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 8B,Module,2021-02-19,1,ARM,PVR 8B 19-Feb-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,13,33.7188369,-118.340566,18.6
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 8B,Module,2021-02-19,2,ARM,PVR 8B 19-Feb-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,13,33.7188369,-118.340566,18.6
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 8C,Module,2021-02-19,1,ARM,PVR 8C 19-Feb-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,13,33.7183608,-118.340393,19.477777777777774
VRG 2020B,Post-Construction,2020,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 8C,Module,2021-02-19,2,ARM,PVR 8C 19-Feb-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,13,33.7183608,-118.340393,19.477777777777774
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 2A,Module,2021-11-16,1,ARM,PVR 2A 16-Nov-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,28,60,14.75,33.7234015,-118.349965,16.66
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 2A,Module,2021-11-16,2,ARM,PVR 2A 16-Nov-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,26,60,14.75,33.7234015,-118.349965,16.66
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 2B,Module,2021-11-16,1,ARM,PVR 2B 16-Nov-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,8,60,14.25,33.722784,-118.349776,17.866666666666667
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 2B,Module,2021-11-16,2,ARM,PVR 2B 16-Nov-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,14.25,33.722784,-118.349776,17.866666666666667
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 2C,Module,2021-11-17,1,ARM,PVR 2C 17-Nov-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,14.45,33.72254,-118.3491,17.4
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 2C,Module,2021-11-17,2,ARM,PVR 2C 17-Nov-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,14.45,33.72254,-118.3491,17.4
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 4D,Module,2021-11-18,1,ARM,PVR 4D 18-Nov-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,18,60,15,33.72197,-118.34721,17.17
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 4D,Module,2021-11-18,2,ARM,PVR 4D 18-Nov-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,4,60,15,33.72197,-118.34721,17.17
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 4B,Module,2021-11-17,1,ARM,PVR 4B 17-Nov-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,23,60,14.27,33.72156,-118.34678,19.022222222222226
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 4B,Module,2021-11-17,2,ARM,PVR 4B 17-Nov-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,14,60,14.27,33.72156,-118.34678,19.022222222222226
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 4C,Module,2021-11-18,1,ARM,PVR 4C 18-Nov-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,13,60,13.7,33.7211,-118.34674,19.555555555555557
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 4C,Module,2021-11-18,2,ARM,PVR 4C 18-Nov-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,7,60,13.7,33.7211,-118.34674,19.555555555555557
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 5A,Module,2021-11-19,1,ARM,PVR 5A 19-Nov-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,53,60,14.75,33.72157,-118.34582,16.95
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 5A,Module,2021-11-19,2,ARM,PVR 5A 19-Nov-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,47,60,14.75,33.72157,-118.34582,16.95
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 5B,Module,2021-11-18,1,ARM,PVR 5B 18-Nov-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,43,60,14,33.72099,-118.3454,18.055555555555557
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 5B,Module,2021-11-18,2,ARM,PVR 5B 18-Nov-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,49,60,14,33.72099,-118.3454,18.055555555555557
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 5C,Module,2021-11-18,1,ARM,PVR 5C 18-Nov-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,24,60,13.45,33.72046,-118.34526,18.9
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 5C,Module,2021-11-18,2,ARM,PVR 5C 18-Nov-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,18,60,13.45,33.72046,-118.34526,18.9
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 6A,Module,2021-12-02,1,ARM,PVR 6A 02-Dec-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,84,60,14.5,33.7210221,-118.343881,15.2
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 6A,Module,2021-12-02,2,ARM,PVR 6A 02-Dec-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,85,60,14.5,33.7210221,-118.343881,15.2
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 6D,Module,2021-11-19,1,ARM,PVR 6D 19-Nov-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,51,60,13,33.72051,-118.34391,18.744444444444444
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 6D,Module,2021-11-19,2,ARM,PVR 6D 19-Nov-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,52,60,13,33.72051,-118.34391,18.744444444444444
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 6C,Module,2021-11-19,1,ARM,PVR 6C 19-Nov-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,7,60,14,33.71998,-118.34387,20.31111111111111
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 6C,Module,2021-11-19,2,ARM,PVR 6C 19-Nov-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,14,33.71998,-118.34387,20.31111111111111
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 7A,Module,2021-12-02,1,ARM,PVR 7A 02-Dec-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,73,60,14.5,33.7204006,-118.342403,15.88
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 7A,Module,2021-12-02,2,ARM,PVR 7A 02-Dec-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,52,60,14.5,33.7204006,-118.342403,15.88
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 7B,Module,2021-12-02,1,ARM,PVR 7B 02-Dec-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,20,60,14.5,33.7201945,-118.342447,17.766666666666666
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 7B,Module,2021-12-02,2,ARM,PVR 7B 02-Dec-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,11,60,14.5,33.7201945,-118.342447,17.766666666666666
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 7C,Module,2021-12-02,1,ARM,PVR 7C 02-Dec-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,14.75,33.7196233,-118.342311,20.566666666666663
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 7C,Module,2021-12-02,2,ARM,PVR 7C 02-Dec-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,14.75,33.7196233,-118.342311,20.566666666666663
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 8A,Module,2021-11-23,1,ARM,PVR 8A 23-Nov-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,41,60,14.7,33.7193,-118.34009,17.6
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 8A,Module,2021-11-23,2,ARM,PVR 8A 23-Nov-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,51,60,14.7,33.7193,-118.34009,17.6
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 8B,Module,2021-11-23,1,ARM,PVR 8B 23-Nov-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,4,60,14.7,33.71884,-118.34057,20.07777777777778
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 8B,Module,2021-11-23,2,ARM,PVR 8B 23-Nov-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,14.7,33.71884,-118.34057,20.07777777777778
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 8C,Module,2021-11-23,1,ARM,PVR 8C 23-Nov-2021 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,0,60,14.2,33.71836,-118.34039,20.6
VRG 2021,Post-Construction,2021,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 8C,Module,2021-11-23,2,ARM,PVR 8C 23-Nov-2021 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,14.2,33.71836,-118.34039,20.6
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 2A,Module,2022-09-20,1,ARM,PVR 2A 20-Sep-2022 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,18,60,17.5,33.72346,-118.34988,16.97
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 2A,Module,2022-09-20,2,ARM,PVR 2A 20-Sep-2022 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,16,60,17.5,33.72346,-118.34988,16.97
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 2B,Module,2022-09-20,1,ARM,PVR 2B 20-Sep-2022 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,29,60,15,33.72277,-118.35004,17.844444444444445
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 2B,Module,2022-09-20,2,ARM,PVR 2B 20-Sep-2022 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,26,60,15,33.72277,-118.35004,17.844444444444445
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 2C,Module,2022-09-20,1,ARM,PVR 2C 20-Sep-2022 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,1,60,15,33.72255,-118.34913,18.555555555555557
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 2C,Module,2022-09-20,2,ARM,PVR 2C 20-Sep-2022 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,15,33.72255,-118.34913,18.555555555555557
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 4D,Module,2022-09-27,1,ARM,PVR 4D 27-Sep-2022 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,22,60,13.625,33.72194,-118.34723,18.2
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 4D,Module,2022-09-27,2,ARM,PVR 4D 27-Sep-2022 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,18,60,13.625,33.72194,-118.34723,18.2
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 4B,Module,2022-09-27,1,ARM,PVR 4B 27-Sep-2022 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,23,60,13.928571428571429,33.72143,-118.34673,18.51111111111111
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 4B,Module,2022-09-27,2,ARM,PVR 4B 27-Sep-2022 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,21,60,13.928571428571429,33.72143,-118.34673,18.51111111111111
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 4C,Module,2022-09-27,1,ARM,PVR 4C 27-Sep-2022 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,39,60,13.857142857142858,33.72116,-118.34668,19.64444444444445
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 4C,Module,2022-09-27,2,ARM,PVR 4C 27-Sep-2022 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,18,60,13.857142857142858,33.72116,-118.34668,19.64444444444445
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 5A,Module,2022-09-30,1,ARM,PVR 5A 30-Sep-2022 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,18,60,16.5,33.721475,-118.345711,17.240000000000002
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 5A,Module,2022-09-30,2,ARM,PVR 5A 30-Sep-2022 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,17,60,16.5,33.721475,-118.345711,17.240000000000002
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 5B,Module,2022-09-30,1,ARM,PVR 5B 30-Sep-2022 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,35,60,13,33.720942,-118.345432,17.933333333333334
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 5B,Module,2022-09-30,2,ARM,PVR 5B 30-Sep-2022 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,16,60,13,33.720942,-118.345432,17.933333333333334
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 5C,Module,2022-09-27,1,ARM,PVR 5C 27-Sep-2022 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,40,60,12,33.72044,-118.34522,19.72222222222222
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 5C,Module,2022-09-27,2,ARM,PVR 5C 27-Sep-2022 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,28,60,12,33.72044,-118.34522,19.72222222222222
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 6A,Module,2022-09-30,1,ARM,PVR 6A 30-Sep-2022 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,28,60,15.875,33.72071,-118.342492,16.7
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 6A,Module,2022-09-30,2,ARM,PVR 6A 30-Sep-2022 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,22,60,15.875,33.72071,-118.342492,16.7
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 6D,Module,2022-09-30,1,ARM,PVR 6D 30-Sep-2022 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,11,60,16.214285714285715,33.720378,-118.343835,18.41111111111111
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 6D,Module,2022-09-30,2,ARM,PVR 6D 30-Sep-2022 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,24,60,16.214285714285715,33.720378,-118.343835,18.41111111111111
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 6C,Module,2022-09-28,1,ARM,PVR 6C 28-Sep-2022 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,14,60,13,33.72,-118.34392,19.933333333333337
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 6C,Module,2022-09-28,2,ARM,PVR 6C 28-Sep-2022 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,0,60,13,33.72,-118.34392,19.933333333333337
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 7A,Module,2022-10-25,1,ARM,PVR 7A 25-Oct-2022 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,30,60,14.375,33.72049,-118.34237,16.69
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 7A,Module,2022-10-25,2,ARM,PVR 7A 25-Oct-2022 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,23,60,14.375,33.72049,-118.34237,16.69
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 7B,Module,2022-10-25,1,ARM,PVR 7B 25-Oct-2022 Swath ARM 1,Macrocystis pyrifera,kelp - canopy,20,60,14.428571428571429,33.72017,-118.34245,18.633333333333333
VRG 2022,Post-Construction,2022,Palos Verdes,AR,Palos Verdes Reef,PVR,PVR 7B,Module,2022-10-25,2,ARM,PVR 7B 25-Oct-2022 Swath ARM 2,Macrocystis pyrifera,kelp - canopy,17,60,14.428571428571429,33.72017,-118.34245,18.633333333333333
