YEAR,DATE,MONTH,SITE,PLANT,DEPTH,FROND,LNGTH_WC,DIAM_WC,WT_WC,NODES_WC,WT_NB_WC,LNGTH_C,DIAM_C,WT_C,NODES_C,WT_NB_C,STATUS,SCRAP,BLADES,NOTES,use,Sum water column and canopy lengths,Sum water column and canopy weight
2002,6/10/02,6,MOHK,1,6.9,9,5.4,,0.36,,,0,,0,,,C,,,n,Y,5.4,0.36
2002,6/10/02,6,MOHK,1,6.9,10,3,,0.1,,,0,,0,,,T,,,n,Y,3,0.1
2002,6/10/02,6,MOHK,1,6.9,11,5.4,,0.3,,,0,,0,,,C,,,n,Y,5.4,0.3
2002,6/10/02,6,MOHK,1,6.9,12,4.2,,0.41,,,0,,0,,,G,,,n,Y,4.2,0.41
2002,6/10/02,6,MOHK,1,6.9,13,5.6,,0.34,,,0,,0,,,C,,,n,Y,5.6,0.34
2002,6/10/02,6,MOHK,1,6.9,14,4.9,,0.49,,,0,,0,,,G,,,n,Y,4.9,0.49
2002,6/10/02,6,MOHK,1,6.9,15,5.6,,0.44,,,0,,0,,,C,,,n,Y,5.6,0.44
2002,6/10/02,6,MOHK,1,6.9,16,5,,0.23,,,0,,0,,,C,,,n,Y,5,0.23
2002,6/10/02,6,MOHK,1,6.9,17,4.7,,0.44,,,0,,0,,,G,,,n,Y,4.7,0.44
2002,6/10/02,6,MOHK,1,6.9,18,5.6,,0.2,,,0,,0,,,C,,,n,Y,5.6,0.2
2002,6/10/02,6,MOHK,1,6.9,19,5.2,,0.29,,,0,,0,,,C,,,n,Y,5.2,0.29
2002,6/10/02,6,MOHK,1,6.9,20,5.9,,0.8,,,0,,0,,,C,,,n,Y,5.9,0.8
2002,6/10/02,6,MOHK,1,6.9,21,4,,0.29,,,0,,0,,,G,,,n,Y,4,0.29
2002,6/10/02,6,MOHK,1,6.9,22,6.6,,0.27,,,0,,0,,,C,,,n,Y,6.6,0.27
2002,6/10/02,6,MOHK,1,6.9,23,5.4,,0.22,,,0,,0,,,C,,,n,Y,5.4,0.22
2002,6/10/02,6,MOHK,1,6.9,24,1.1,,0.04,,,0,,0,,,G,,,n,Y,1.1,0.04
2002,6/10/02,6,MOHK,1,6.9,25,5.3,,0.24,,,0,,0,,,C,,,n,Y,5.3,0.24
2002,6/10/02,6,MOHK,1,6.9,26,1.3,,0.06,,,0,,0,,,G,,,n,Y,1.3,0.06
2002,6/10/02,6,MOHK,1,6.9,27,4.9,,0.18,,,0,,0,,,C,,,n,Y,4.9,0.18
2002,6/10/02,6,MOHK,1,6.9,28,5,,0.21,,,0,,0,,,C,,,n,Y,5,0.21
2002,6/10/02,6,MOHK,1,6.9,29,5.1,,0.18,,,0,,0,,,C,,,n,Y,5.1,0.18
2002,6/10/02,6,MOHK,1,6.9,30,5.5,,0.38,,,0,,0,,,C,,,n,Y,5.5,0.38
2002,6/10/02,6,MOHK,1,6.9,31,6.9,,0.24,,,3.6,,0.35,,,C,,,n,Y,10.5,0.59
2002,6/10/02,6,MOHK,1,6.9,32,5.2,,0.57,,,0,,0,,,G,,,n,Y,5.2,0.57
2002,6/10/02,6,MOHK,1,6.9,33,4.9,,0.21,,,0,,0,,,C,,,n,Y,4.9,0.21
2002,6/10/02,6,MOHK,1,6.9,34,5.3,,0.18,,,0,,0,,,C,,,n,Y,5.3,0.18
2002,6/10/02,6,MOHK,1,6.9,35,5.2,,0.28,,,0,,0,,,C,,,n,Y,5.2,0.28
2002,6/10/02,6,MOHK,1,6.9,36,5.9,,0.49,,,0,,0,,,C,,,n,Y,5.9,0.49
2002,6/10/02,6,MOHK,1,6.9,37,1,,0.07,,,0,,0,,,G,,,n,Y,1,0.07
2002,6/10/02,6,MOHK,1,6.9,38,6.1,,0.78,,,0,,0,,,G,,,n,Y,6.1,0.78
2002,6/10/02,6,MOHK,1,6.9,39,5.5,,0.39,,,0,,0,,,C,,,n,Y,5.5,0.39
2002,6/10/02,6,MOHK,1,6.9,40,6.7,,0.24,,,0,,0,,,C,,,n,Y,6.7,0.24
2002,6/10/02,6,MOHK,1,6.9,41,4.3,,0.34,,,0,,0,,,G,,,n,Y,4.3,0.34
2002,6/10/02,6,MOHK,1,6.9,42,5.4,,0.23,,,0,,0,,,C,,,n,Y,5.4,0.23
2002,6/10/02,6,MOHK,1,6.9,43,5.4,,0.17,,,0,,0,,,C,,,n,Y,5.4,0.17
2002,6/10/02,6,MOHK,1,6.9,44,5.2,,0.19,,,0,,0,,,C,,,n,Y,5.2,0.19
2002,6/10/02,6,MOHK,1,6.9,45,5.1,,0.24,,,0,,0,,,C,,,n,Y,5.1,0.24
2002,6/10/02,6,MOHK,1,6.9,46,0.6,,0.02,,,0,,0,,,G,,,n,Y,0.6,0.02
2002,6/10/02,6,MOHK,1,6.9,47,1.1,,0.03,,,0,,0,,,G,,,n,Y,1.1,0.03
2002,6/10/02,6,MOHK,1,6.9,48,0.7,,0.01,,,0,,0,,,G,,,n,Y,0.7,0.01
2002,6/10/02,6,MOHK,1,6.9,49,5.9,,0.24,,,0,,0,,,C,,,n,Y,5.9,0.24
2002,6/10/02,6,MOHK,1,6.9,50,6.9,,0.3,,,2,,0.22,,,C,,,n,Y,8.9,0.52
2002,6/10/02,6,MOHK,1,6.9,51,6.4,,0.28,,,0,,0,,,C,,,n,Y,6.4,0.28
2002,6/10/02,6,MOHK,1,6.9,52,6.9,,0.19,,,3.3,,0.2,,,C,,,n,Y,10.2,0.39
2002,6/10/02,6,MOHK,1,6.9,53,6.7,,0.28,,,0,,0,,,C,,,n,Y,6.7,0.28
2002,6/10/02,6,MOHK,1,6.9,54,4.2,,0.28,,,0,,0,,,G,,,n,Y,4.2,0.28
2002,6/10/02,6,MOHK,1,6.9,55,5.3,,0.19,,,0,,0,,,C,,,n,Y,5.3,0.19
2002,6/10/02,6,MOHK,1,6.9,56,3.1,,0.16,,,0,,0,,,C,,,n,Y,3.1,0.16
2002,6/10/02,6,MOHK,1,6.9,57,6.7,,0.2,,,0,,0,,,C,,,n,Y,6.7,0.2
2002,6/10/02,6,MOHK,1,6.9,58,4.8,,0.45,,,0,,0,,,G,,,n,Y,4.8,0.45
2002,6/10/02,6,MOHK,1,6.9,59,5.4,,0.3,,,0,,0,,,C,,,n,Y,5.4,0.3
2002,6/10/02,6,MOHK,1,6.9,60,3,,0.52,,,0,,0,,,G,,,n,Y,3,0.52
2002,6/10/02,6,MOHK,1,6.9,61,1.9,,0.13,,,0,,0,,,G,,,n,Y,1.9,0.13
2002,6/10/02,6,MOHK,1,6.9,62,6.9,,0.2,,,3.3,,0.25,,,C,,,n,Y,10.2,0.45
2002,6/10/02,6,MOHK,1,6.9,63,5.1,,0.19,,,0,,0,,,C,,,n,Y,5.1,0.19
2002,6/10/02,6,MOHK,1,6.9,64,6.7,,0.25,,,0,,0,,,C,,,n,Y,6.7,0.25
2002,6/10/02,6,MOHK,1,6.9,65,5.9,,0.24,,,0,,0,,,C,,,n,Y,5.9,0.24
2002,6/10/02,6,MOHK,1,6.9,66,6.9,,0.22,,,1.1,,0.05,,,S,,,n,Y,8,0.27
2002,6/10/02,6,MOHK,1,6.9,67,6.1,,0.72,,,0,,0,,,C,,,n,Y,6.1,0.72
2002,6/10/02,6,MOHK,1,6.9,68,6.9,,0.28,,,3.3,,0.28,,,C,,,n,Y,10.2,0.56
2002,6/10/02,6,MOHK,1,6.9,69,5.1,,0.11,,,0,,0,,,S,,,n,Y,5.1,0.11
2002,6/12/02,6,ABUR,1,6.7,1,1.7,,0.21,,,0,,0,,,G,12.14,,,Y,1.7,0.21
